HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($),
146,Afghanistan,AFG,2019AFG,6,38041.8,64.8,2.38,0.73,29.4,1.56,2065,
36,Albania,ALB,2019ALB,7,2880.9,78.6,5,1.95,51,1.56,13724,
62,Algeria,DZA,2019DZA,4,43053.1,76.9,4.74,2.22,46.5,1.56,11511,
43,Argentina,ARG,2019ARG,1,44780.7,76.7,6.09,3.19,50,1.56,22064,
20,Armenia,ARM,2019ARM,7,2957.7,75.1,5.49,1.52,54.7,1.56,13654,
88,Australia,AUS,2019AUS,2,25203.2,83.4,7.23,7.53,43.1,1.56,49609,
59,Austria,AUT,2019AUT,3,8955.1,81.5,7.2,6.05,46.8,1.56,56012,
50,Azerbaijan,AZE,2019AZE,7,10047.7,73,5.17,1.97,48,1.56,14402,
139,Bahrain,BHR,2019BHR,4,1641.2,77.3,7.1,9.8,33.6,1.56,45011,
22,Bangladesh,BGD,2019BGD,6,163046.2,72.6,5.11,0.88,54.5,1.56,4754,
89,Belarus,BLR,2019BLR,7,9452.4,74.8,5.82,4.11,42.9,1.56,19249,
92,Belgium,BEL,2019BEL,3,11539.3,81.6,6.77,6.69,42.5,1.56,51831,
99,Benin,BEN,2019BEN,5,11801.2,61.8,4.98,1.39,41.4,1.56,3287,
127,Bhutan,BTN,2019BTN,6,763.1,71.8,5.2,4.39,36.7,1.56,11832,
75,Bolivia,BOL,2019BOL,1,11513.1,71.5,5.67,2.94,45,1.56,8724,
54,Bosnia and Herzegovina,BIH,2019BIH,7,3301,77.4,6.02,3.65,47.8,1.56,14922,
142,Botswana,BWA,2019BWA,5,2303.7,69.6,3.47,2.66,31.9,1.56,17767,
21,Brazil,BRA,2019BRA,1,211049.5,75.9,6.45,2.68,54.6,1.56,14652,
106,Bulgaria,BGR,2019BGR,7,7000.1,75,5.11,3.83,40.1,1.56,23266,
98,Burkina Faso,BFA,2019BFA,5,20321.4,61.6,4.74,1.06,41.5,1.56,2178,
121,Burundi,BDI,2019BDI,5,11530.6,61.6,3.78,0.59,37.7,1.56,752,
51,Cambodia,KHM,2019KHM,8,16486.5,69.8,5,1.36,48,1.56,4389,
108,Cameroon,CMR,2019CMR,5,25876.4,59.3,4.94,1.24,39.9,1.56,3642,
105,Canada,CAN,2019CAN,2,37411,82.4,7.11,8.15,40.2,1.56,48881,
150,Central African Republic,CAF,2019CAF,5,4745.2,53.3,3.08,1.21,25.2,1.56,945,
145,Chad,TCD,2019TCD,5,15946.9,54.2,4.25,1.67,30.4,1.56,1580,
67,Chile,CHL,2019CHL,1,18952,80.2,5.94,4.44,45.6,1.56,25131,
94,China,CHN,2019CHN,8,1433783.7,76.9,5.14,3.74,41.9,1.56,16092,
3,Colombia,COL,2019COL,1,50339.4,77.3,6.35,1.9,60.2,1.56,14625,
93,Comoros,COM,2019COM,5,850.9,64.3,4.61,1.12,42.4,1.56,3060,
56,Congo (Brazzaville),COG,2019COG,5,5380.5,64.6,5.21,1.05,47.2,1.56,3673,
104,Congo (Kinshasa),COD,2019COD,5,86790.6,60.7,4.42,0.73,40.5,1.56,1098,
1,Costa Rica,CRI,2019CRI,1,5047.6,80.3,7,2.65,62.1,1.56,20297,
111,Cote d'Ivoire,CIV,2019CIV,5,25716.6,57.8,5.39,1.58,39.6,1.56,5213,
65,Croatia,HRV,2019HRV,7,4130.3,78.5,5.63,3.64,46.2,1.56,28845,
45,Cyprus,CYP,2019CYP,3,1198.6,81,6.14,3.97,49.4,1.56,39545,
58,Czech Republic,CZE,2019CZE,7,10689.2,79.4,6.97,5.4,46.8,1.56,40828,
70,Denmark,DNK,2019DNK,3,5771.9,80.9,7.69,7.05,45.3,1.56,57862,
19,Dominican Republic,DOM,2019DOM,1,10739,74.1,6,1.93,54.8,1.56,18413,
5,Ecuador,ECU,2019ECU,1,17373.7,77,5.81,1.51,58.8,1.56,11375,
86,Egypt,EGY,2019EGY,4,100388.1,72,4.33,1.67,43.2,1.56,11763,
13,El Salvador,SLV,2019SLV,1,6453.6,73.3,6.45,2.06,56.3,1.56,8776,
133,Estonia,EST,2019EST,7,1325.6,78.8,6.03,7.85,34.4,1.56,36948,
130,Eswatini,SWZ,2019SWZ,5,1148.1,60.2,4.4,1.67,35.3,1.56,8622,
96,Ethiopia,ETH,2019ETH,5,112078.7,66.6,4.1,0.94,41.7,1.56,2221,
33,Finland,FIN,2019FIN,3,5532.2,81.9,7.78,5.76,51.3,1.56,48803,
31,France,FRA,2019FRA,3,65129.7,82.7,6.69,4.41,51.8,1.56,46113,
109,Gabon,GAB,2019GAB,5,2172.6,66.5,4.91,2.32,39.9,1.56,14950,
78,Georgia,GEO,2019GEO,7,3996.8,73.8,4.89,2.43,44.3,1.56,14993,
29,Germany,DEU,2019DEU,3,83517,81.3,7.04,4.44,52.7,1.56,53811,
113,Ghana,GHA,2019GHA,5,30417.9,64.1,4.97,2.1,39.5,1.56,5413,
47,Greece,GRC,2019GRC,3,10473.5,82.2,5.95,4.04,48.8,1.56,30463,
8,Guatemala,GTM,2019GTM,1,17581.5,74.3,6.26,1.77,57.9,1.56,8637,
120,Guinea,GIN,2019GIN,5,12771.2,61.6,4.77,1.77,38.1,1.56,2562,
119,Haiti,HTI,2019HTI,1,11263.1,64,3.61,0.62,38.2,1.56,2905,
9,Honduras,HND,2019HND,1,9746.1,75.3,5.93,1.58,57.7,1.56,5728,
138,Hong Kong,HKG,2019HKG,8,7436.2,84.9,5.66,8.6,33.9,1.56,59848,
69,Hungary,HUN,2019HUN,7,9684.7,76.9,6,4.07,45.4,1.56,32640,
52,Iceland,ISL,2019ISL,3,339,83,7.53,6.46,48,1.56,55700,
128,India,IND,2019IND,6,1366417.8,69.7,3.25,1.22,36.4,1.56,6700,
44,Indonesia,IDN,2019IDN,8,270625.6,71.7,5.35,1.74,49.6,1.56,11812,
84,Iran,IRN,2019IRN,4,82913.9,76.7,5.01,3.12,43.6,1.56,12389,
71,Iraq,IRQ,2019IRQ,4,39309.8,70.6,4.84,1.74,45.3,1.56,10881,
35,Ireland,IRL,2019IRL,3,4882.5,82.3,7.25,5.2,51.1,1.56,86826,
49,Israel,ISR,2019ISR,4,8519.4,83,7.33,6.11,48.2,1.56,40200,
40,Italy,ITA,2019ITA,3,60550.1,83.5,6.45,4.45,50.7,1.56,42416,
7,Jamaica,JAM,2019JAM,1,2948.3,74.5,6.31,1.84,57.9,1.56,9761,
57,Japan,JPN,2019JPN,8,126860.3,84.6,5.91,4.71,47.1,1.56,41667,
83,Jordan,JOR,2019JOR,4,10101.7,74.5,4.45,2.03,43.9,1.56,10071,
118,Kazakhstan,KAZ,2019KAZ,7,18551.4,73.6,6.27,5.72,38.6,1.56,26352,
72,Kenya,KEN,2019KEN,5,52574,66.7,4.62,0.99,45.2,1.56,4330,
140,Kuwait,KWT,2019KWT,4,4207.1,75.5,6.11,7.77,33.3,1.56,49854,
25,Kyrgyzstan,KGZ,2019KGZ,7,6415.9,71.5,5.69,1.44,53.7,1.56,5254,
90,Laos,LAO,2019LAO,8,7169.5,67.9,5.2,2.28,42.8,1.56,7826,
136,Latvia,LVA,2019LVA,7,1906.7,75.3,5.97,7.15,34.1,1.56,30965,
116,Lebanon,LBN,2019LBN,4,6855.7,78.9,4.02,3.05,39,1.56,14552,
149,Lesotho,LSO,2019LSO,5,2125.3,54.3,3.51,1.45,27.3,1.56,2704,
66,Liberia,LBR,2019LBR,5,4937.4,64.1,5.12,1.07,46,1.56,1428,
91,Libya,LBY,2019LBY,4,6777.5,72.9,5.33,3.21,42.7,1.56,15174,
